NAME                            VERSION                             TYPE         
postgresql-client-common        246.pgdg110+1                       deb           
postgresql-common               246.pgdg110+1                       deb           
python3                         3.9.2-3                             deb           
python3-minimal                 3.9.2-3                             deb           
python3-pkg-resources           52.0.0-4                            deb           
python3.9                       3.9.2-1                             deb           
python3.9-minimal               3.9.2-1                             deb           
readline-common                 8.1-1                               deb           
sed                             4.7-1                               deb           
sensible-utils                  0.0.14                              deb           
ssl-cert                        1.1.0+nmu1                          deb           
supervisor                      4.2.2                               python        
supervisor                      4.2.2-2                             deb           
sysvinit-utils                  2.96-7+deb11u1                      deb           
tar                             1.34+dfsg-1                         deb           
tzdata                          2021a-1+deb11u8                     deb           
ucf                             3.0043                              deb           
util-linux                      2.36.1-8+deb11u1                    deb           
words                           1.0-SNAPSHOT                        java-archive  
x11-common                      1:7.7+22                            deb           
xz-utils                        5.2.5-2.1~deb11u1                   deb           
zlib1g                          1:1.2.11.dfsg-2+deb11u2             deb           
zstd                            1.4.8+dfsg-2.1                      deb           
